U2e,,U2mu,,U2tau,
X,Y,X,Y,X,Y
1.0064485136664523,0.0000818576088691517,1,0.00009835122722158399,0.9965986394557823,0.0015258807679476647
1.0938942671736458,0.00007166370568674387,1.1776765375854215,0.00006599250056916125,1.0782312925170068,0.0012406033764120964
1.3360066439231715,0.00004808072753015458,1.4920273348519362,0.000033937974622098105,1.295918367346939,0.0007143854230931988
1.564684617200922,0.00003335055786883245,1.8200455580865604,0.00001633038373073243,1.425170068027211,0.00047223405554182546
1.73281007010316,0.000025137425545511616,1.9908883826879271,0.000011141185568691744,1.5,0.0003645841237070736
1.9480292137210042,0.00001772828550644234,2.503416856492027,0.000006022591314648358,1.7993197278911566,0.00025380161543010787
1.9950984782484797,0.000016313552579807457,2.7904328018223232,0.000005016040228087699,1.8979591836734693,0.000312163428878344
2.075851456207916,0.000014766084238406995,3.002277904328018,0.000005100129779556943,2,0.0004973123145824386
2.2037225510710883,0.000012716184419746237,3.104783599088838,0.000006330587899870713,1.9013605442176873,0.0010622267363732084
2.297934358690431,0.000011320347141860149,3.200455580865604,0.000011327957854141286,1.7993197278911566,0.0018131217442077475
2.419088251817716,0.000009912458283139786,3.002277904328018,0.000022771976241019175,1.7448979591836735,0.002790569761318471
2.50655843151304,0.000008824051122354606,2.7835990888382685,0.0000400763431579894,1.7006802721088436,0.003940085244553469
2.600916796261165,0.000008682595273250196,2.6195899772209565,0.00006709880744088852,1.6020408163265307,0.01706906522046642
2.7089538263623707,0.000009764165998822554,2.469248291571754,0.00010866785210921989,1.5,0.0346199026800519
2.810615621361516,0.000014102658969195584,1.997722095671982,0.0005100129779556938,,
2.858222262027862,0.000018732873551211438,,,,
2.7039708839837484,0.00003246102644853928,,,,
2.6102476001270163,0.00005090823470353148,,,,
2.4694306255546783,0.00008532682408222652,,,,
2.2481782134686004,0.0001962772640751368,,,,
2.013515824098877,0.00047463651804115794,,,,
