U2el,,U2mu, # from 2407.10717 
X,Y,X,Y
0.9835706462212488,0.0014114316893287409,0.9768467475192941,0.00036315389199679507
1.1588170865279297,0.0007642227371099887,1.1885336273428888,0.00022699122587913027
1.4392113910186204,0.00036315389199679507,1.3472987872105842,0.00015749940286401127
1.5794085432639644,0.0002586416205275966,1.5766262403528115,0.00009102981779915209
1.8247535596933186,0.00014563484775012429,1.75303197353914,0.00006153407071116599
2,0.0000863988449483969,1.9294377067254684,0.00004159562163071843
2.4381161007667034,0.000054004046663364884,2.194046306504962,0.000024676880014121174
2.9112814895947423,0.00003040837394100148,2.352811466372657,0.000019006912028137742
3.1566265060240966,0.00002109905666716612,2.5644983461962507,0.00001318807492724199
3.472070098576122,0.000014262478782072125,2.7232635060639474,0.00001002614051384806
3.997809419496167,0.000006866488450042998,2.952590959206174,0.0000070481081962963565
4.698795180722891,0.000004073590078887669,3.040793825799339,0.000006185619763526622
4.979189485213582,0.000003305783262152121,3.287761852260199,0.000004641588833612773
5.469879518072289,0.0000026479055770803558,3.72877618522602,0.0000028636247002227885
6.013143483023002,0.000002039500469005056,4.0110253583241455,0.0000020662969933783425
6.591456736035049,0.00000176671108055543,4.469680264608599,0.000001490971657184063
7.41511500547645,0.000001471636170330215,5.016538037486218,9.818914810154685e-7
8.028477546549837,0.0000012748003583136704,5.528114663726572,8.961505019466032e-7
8.589266155531217,0.0000010481131341546832,5.986769570011024,8.286427728546808e-7
9.00985761226725,9.198538297760328e-7,6.551267916207276,7.08500459186647e-7
9.991237677984666,9.079248158692962e-7,7.009922822491731,6.218001087320915e-7
10.587075575027383,0.000001021104746064103,7.715545755237045,5.749594126677223e-7
11.498357064622121,0.0000012258444754550988,8.350606394707828,5.316472634417699e-7
12.02409638554217,0.0000014525514334152234,9.09151047409041,4.7271912664039605e-7
12.514786418400877,0.0000016124378836620495,9.47960308710033,4.4285189092265933e-7
12.987951807228917,0.0000019357446719550787,10.326350606394708,3.886593866770934e-7
13.005476451259584,0.0000031788319814419185,11.102535832414553,3.4109850708212407e-7
12.707557502738226,0.00000476435961991883,11.525909592061744,3.1954729635284016e-7
12.497261774370218,0.0000061856197635266465,12.03748621830209,2.954755447135954e-7
12.19934282584885,0.000008461310681536347,13.0077177508269,2.95475544713596e-7
11.989047097480832,0.000010426549024346363,14.030871003307608,2.954755447135966e-7
11.568455640744798,0.00001463972368624547,14.57772877618523,2.993577294720484e-7
11.077765607886091,0.00002109905666716612,15.477398015435499,2.916437056018898e-7
10.587075575027383,0.0000328856781997027,15.51267916207277,8.730579752379645e-7
9.991237677984666,0.00005543246255935222,14.771775082690185,0.0000020395004690050517
9.500547645125959,0.00007582607814384985,14.524807056229326,0.000002826488127251244
8.641840087623219,0.00013119395729788467,14.242557883131207,0.0000037667233027381984
8.010952902519167,0.00019408048079954334,13.748621830209482,0.000006349230421295139
,,13.501653803748624,0.000008243274712712988
,,13.0077177508269,0.000010842948431347465
,,12.002205071664829,0.000016040408325075373
,,11.13781697905182,0.00003001402659593278
,,10.573318632855568,0.000044984326689694436
,,9.409040793825799,0.00010646598693830134
,,8.950385887541344,0.00014948691337092314
,,7.962513781697904,0.0003271442030202386
