CHARM BC6,,BC7 Charm,
X,Y,X,Y
0.16216037924842602,0.000030888435964774846,0.43845951494171087,0.0000016637179087729955
0.1728100758317759,0.000024135319994706776,0.4556455017867832,0.0000014955715599584783
0.19132334083739427,0.00001757510624854793,0.48579875866558614,0.0000012975094806743868
0.2200601661192422,0.000012354828882567483,0.511351873633916,0.0000011256772310424653
0.2467545635425734,0.000008685113737513539,0.5313949705995369,0.0000010484930418778362
0.2731895535408207,0.000006105402296585327,0.5593464557260553,9.096386282548654e-7
0.2986332230898411,0.0000044458948162339995,0.5812707623093525,8.177045249581684e-7
0.3182456168839035,0.000003598507804917561,0.6197375232963912,7.350618909179854e-7
0.3391460321055673,0.0000029126326549087384,0.6523358449275134,6.607716687241804e-7
0.366046207491817,0.000002275845926074791,0.6779049906922799,5.939897083268265e-7
0.400138136053435,0.0000018420699693267164,0.7135629331134323,5.339571750699009e-7
0.4318760454482119,0.000001490971657184063,0.7510964906652702,4.799919271526414e-7
0.4781432300465479,0.0000011650016235918532,0.790604321090771,4.3148076454173714e-7
0.5226753806530595,0.0000010118171605283158,0.8321902715505534,3.8787246125978334e-7
0.564132623488399,8.483428982440726e-7,0.8648090438022317,3.486715018768109e-7
0.6166734467659478,6.866488450042998e-7,0.8987063509510128,3.247641806527221e-7
0.6741076904835563,5.963623316594636e-7,0.9459784904922913,2.8175489201737424e-7
0.7275761476866266,5.179474679231213e-7,1.008580518414832,2.44441425209424e-7
0.7753588751941554,4.498432668969444e-7,1.0753253613584364,2.1206946907147134e-7
0.8584236170029667,3.641031949310677e-7,1.1318876972990037,1.9063632422680218e-7
0.9383734048371305,3.162277660168379e-7,1.1762534971345164,1.775649839660201e-7
1.0128027266581618,2.8449958200466917e-7,1.2067926406393288,1.6538990488162257e-7
1.0931355874309403,2.651364198922031e-7,1.2381246738471539,1.5404963313029497e-7
1.1502003109295038,2.3853440064314214e-7,1.270270182603201,1.4348692856776348e-7
1.1949454125079844,2.1460145050354194e-7,1.3032502872242788,1.3364847582854448e-7
1.225738394758897,1.9306977288832494e-7,1.3370866563753074,1.2448461521606524e-7
1.257324892551172,1.7369844013488728e-7,1.371801521306117,1.1594909204480515e-7
1.3062373554498214,1.5085907086001762e-7,1.4074176904578743,1.0799882316927201e-7
1.3570526113663992,1.3572287829716537e-7,1.4439585644487392,1.00593679521359e-7
1.4098446827699127,1.221053502998154e-7,1.4814481514485913,9.369628355843955e-8
1.4834425035006988,1.1379480841432356e-7,1.5199110829529348,8.727182059981661e-8
1.5608823355413257,1.1379480841432356e-7,1.5593726299663402,8.422671669571294e-8
1.6423647425872723,1.1379480841432356e-7,1.5998587196060607,8.422671669571294e-8
1.7281007583177572,1.1787686347935867e-7,1.6413959521367176,8.727182059981661e-8
1.7953273476640028,1.2648552168552957e-7,1.6840116184472875,9.04270161488351e-8
1.8651691863198558,1.3572287829716537e-7,1.7277337179817995,9.708374694365699e-8
1.9132334083739426,1.5627069765469932e-7,1.7500186282972865,1.042305090008374e-7
1.9625362148195178,1.86383800585864e-7,1.7954544719788261,1.1594909204480515e-7
2.013109523187532,2.2229964825261955e-7,1.81861286812932,1.2448461521606524e-7
2.0388828141458424,2.746474114816056e-7,1.81861286812932,1.38480357106706e-7
2.0388828141458424,3.2757150983047296e-7,1.8420699693267182,1.5961909087094922e-7
2.0649860735033734,3.906939937054621e-7,1.8658296283725866,1.839846076569262e-7
2.0649860735033734,4.826957437677872e-7,1.8658296283725866,2.1206946907147134e-7
2.0388828141458424,5.963623316594636e-7,1.8658296283725866,2.3591233147545538e-7
2.0388828141458424,5.963623316594636e-7,1.8658296283725866,2.8175489201737424e-7
