CHARM BC6,
X,Y
0.16216037924842602,0.000030888435964774846
0.1728100758317759,0.000024135319994706776
0.19132334083739427,0.00001757510624854793
0.2200601661192422,0.000012354828882567483
0.2467545635425734,0.000008685113737513539
0.2731895535408207,0.000006105402296585327
0.2986332230898411,0.0000044458948162339995
0.3182456168839035,0.000003598507804917561
0.3391460321055673,0.0000029126326549087384
0.366046207491817,0.000002275845926074791
0.400138136053435,0.0000018420699693267164
0.4318760454482119,0.000001490971657184063
0.4781432300465479,0.0000011650016235918532
0.5226753806530595,0.0000010118171605283158
0.564132623488399,8.483428982440726e-7
0.6166734467659478,6.866488450042998e-7
0.6741076904835563,5.963623316594636e-7
0.7275761476866266,5.179474679231213e-7
0.7753588751941554,4.498432668969444e-7
0.8584236170029667,3.641031949310677e-7
0.9383734048371305,3.162277660168379e-7
1.0128027266581618,2.8449958200466917e-7
1.0931355874309403,2.651364198922031e-7
1.1502003109295038,2.3853440064314214e-7
1.1949454125079844,2.1460145050354194e-7
1.225738394758897,1.9306977288832494e-7
1.257324892551172,1.7369844013488728e-7
1.3062373554498214,1.5085907086001762e-7
1.3570526113663992,1.3572287829716537e-7
1.4098446827699127,1.221053502998154e-7
1.4834425035006988,1.1379480841432356e-7
1.5608823355413257,1.1379480841432356e-7
1.6423647425872723,1.1379480841432356e-7
1.7281007583177572,1.1787686347935867e-7
1.7953273476640028,1.2648552168552957e-7
1.8651691863198558,1.3572287829716537e-7
1.9132334083739426,1.5627069765469932e-7
1.9625362148195178,1.86383800585864e-7
2.013109523187532,2.2229964825261955e-7
2.0388828141458424,2.746474114816056e-7
2.0388828141458424,3.2757150983047296e-7
2.0649860735033734,3.906939937054621e-7
2.0649860735033734,4.826957437677872e-7
2.0388828141458424,5.963623316594636e-7
