BC6 CHARM,
X,Y
0.16138574393902988,0.000029427271762092818
0.16777185295673408,0.000026416483203860926
0.17668147296146947,0.00002287573200318396
0.19094086092480927,0.000018434229924091105
0.2036989376559122,0.000014855080171727751
0.22013881746373612,0.0000119708503049573
0.24100301288187473,0.000008976871324473143
0.26045358346754066,0.000006978305848598663
0.28147394644535983,0.000005232991146814947
0.312163428878344,0.00000378551524925863
0.3417494821585061,0.000002838735964758755
0.3940085244553469,0.0000019109529749704404
0.4203349532949522,0.0000015963385442879422
0.46017322765138063,0.0000012863969449369745
0.49092057695911956,0.0000011139738599948025
0.5515349441892866,8.659643233600654e-7
0.6196334171733243,6.978305848598663e-7
0.687192880887037,5.424690937011326e-7
0.7426539868534247,4.531583637600818e-7
0.8025911785892763,4.067944321083047e-7
0.8786587226230284,3.5226946514731013e-7
0.9744600632908481,3.0505278902670256e-7
1.0531055707361898,2.7384196342643614e-7
1.1090313431155938,2.548296747979347e-7
1.1529162296509439,2.3713737056616554e-7
1.18313338132856,2.2067340690845898e-7
1.2141425040375708,1.9809567785503386e-7
1.2459643548010502,1.7782794100389227e-7
1.2786202346695514,1.5963385442879422e-7
1.3292158325925452,1.4330125702369628e-7
1.381813521879163,1.2863969449369746e-7
1.4551955176095372,1.19708503049573e-7
1.5726396225306751,1.1547819846894582e-7
1.6777185295673398,1.1547819846894582e-7
1.7668147296146928,1.2409377607517196e-7
1.8367284109722466,1.3823722273578997e-7
1.8848678156900907,1.5963385442879422e-7
1.9342689215243007,1.8434229924091104e-7
1.9594529126209974,2.2067340690845898e-7
1.9594529126209974,2.548296747979347e-7
1.9594529126209974,3.162277660168379e-7
