Mu_Mixnig,
X,Y
0.2001976284584981,2.7363571115670477e-2
0.2001976284584981,2.7363571115670477e-8
0.20177865612648227,4.7073324301257986e-8
0.2025691699604743,3.589003005248797e-8
0.20415019762845849,2.3678029087505354e-8
0.20494071146245063,3.338567869687183e-8
0.20573122529644267,3.278738695883668e-8
0.208102766798419,4.7073324301257986e-8
0.20968379446640317,2.888903162343215e-8
0.21047430830039526,2.7363571115670477e-8
0.2120553359683795,2.941618765943566e-8
0.21521739130434786,1.772928002276988e-8
0.21837944664031622,3.338567869687183e-8
0.2191699604743083,2.5918661240102715e-8
0.2199604743083004,2.8371322545325165e-8
0.2207509881422925,2.7363571115670477e-8
0.22233201581027667,3.399488783446212e-8
0.22312252964426882,2.7862891129863575e-8
0.2254940711462451,2.3678029087505354e-8
0.22628458498023718,2.8371322545325165e-8
0.22944664031620554,1.4270863816202837e-8
0.23181818181818187,1.280353352362931e-8
0.23498023715415023,5.990828828508466e-9
0.23735177865612656,7.3092757356513625e-9
0.2381422924901186,7.578463300432507e-9
0.2420948616600791,3.338567869687183e-8
0.2428853754940712,2.6873199220874256e-8
0.24683794466403164,2.0862758351199727e-8
0.24841897233201582,8.44698203796374e-9
0.24920948616600797,9.246312906117008e-9
0.25,7.578463300432507e-9
0.25158102766798424,8.601119346038617e-9
0.2523715415019763,4.822209488937236e-9
0.2531620553359684,5.8834695196077055e-9
0.2539525691699605,7.857564562227345e-9
0.2555335968379447,8.295606964521907e-9
0.257905138339921,2.8371322545325165e-8
0.2602766798418973,2.1631096462701615e-8
0.26185770750988147,2.0488884988687715e-8
0.26185770750988147,9.939904205282543e-9
0.26343873517786565,1.068552369072755e-8
0.26422924901185774,7.857564562227345e-9
0.2650197628458498,8.758069292951103e-9
0.2681818181818182,5.572797963780889e-9
0.2705533596837945,1.128121876013401e-8
0.2721343873517787,1.1696685889249396e-8
0.2729249011857708,1.4270863816202837e-8
0.27529644268774706,8.601119346038617e-9
0.27687747035573124,6.923315706931226e-9
0.2784584980237154,6.923315706931226e-9
0.27924901185770756,6.799245664058216e-9
0.28003952569169965,8.14694462478266e-9
0.28083003952569174,8.44698203796374e-9
0.283201581027668,1.0880509053506432e-8
0.2847826086956522,9.939904205282543e-9
0.2855731225296443,1.3763961700864e-8
0.2871541501976285,9.08061333567409e-9
0.2879446640316206,1.012128378793568e-8
0.2887351778656127,1.012128378793568e-8
0.2903162055335969,7.857564562227345e-9
0.291106719367589,7.3092757356513625e-9
0.29189723320158106,1.2348751086453318e-8
0.29268774703557315,1.1910122554352205e-8
0.2942687747035574,1.709953471353548e-8
0.29584980237154157,6.799245664058216e-9
0.2966403162055336,6.677399032075322e-9
0.29822134387351784,3.6765885147551518e-9
0.299802371541502,1.2348751086453318e-8
0.299802371541502,9.246312906117008e-9
0.3013833992094862,1.012128378793568e-8
0.3021739130434783,8.917883202662476e-9
0.3045454545454546,6.440217335303901e-9
0.3061264822134388,1.012128378793568e-8
0.30691699604743083,8.000946404902393e-9
0.307707509881423,9.586838088695933e-9
0.308498023715415,5.278531152684767e-9
0.31007905138339925,5.674488256564963e-9
0.31166007905138343,5.8834695196077055e-9
0.31166007905138343,1.0494032584652195e-8
0.3132411067193676,6.677399032075322e-9
0.31482213438735185,1.8052797165878923e-8
0.3156126482213439,1.5341360464433913e-8
0.3171936758893281,1.6196608466418196e-8
0.3179841897233202,9.586838088695933e-9
0.3195652173913044,1.2348751086453318e-8
0.3203557312252965,4.32638988394462e-9
0.32114624505928857,3.7436775003853355e-9
0.32588932806324117,1.0494032584652195e-8
0.32905138339920953,5.8834695196077055e-9
0.3298418972332016,1.1487074139448871e-8
0.3306324110671937,8.917883202662476e-9
0.33142292490118586,1.2127453930353598e-8
0.33142292490118586,1.0494032584652195e-8
0.33300395256917004,1.0305973116067644e-8
0.33379446640316207,5.8834695196077055e-9
0.3345849802371542,6.557735966102414e-9
0.33537549407114625,4.650924258972811e-9
0.3361660079051384,8.758069292951103e-9
0.3377470355731226,5.183936652860865e-9
0.34090909090909094,1.1487074139448871e-8
0.3416996047430831,1.012128378793568e-8
0.34328063241106727,4.405336197242849e-9
0.3440711462450593,4.735792551827738e-9
0.34486166007905145,7.578463300432507e-9
0.3464426877470356,4.567576857722254e-9
0.3472332015810277,1.6492158003251148e-8
0.3480237154150198,1.3275064785339548e-8
0.3488142292490119,4.024501020799754e-9
0.3503952569169961,3.482449415333071e-9
0.35197628458498026,1.590635535766363e-8
0.35592885375494077,3.4200417964184948e-9
0.35750988142292495,1.3037167522412457e-8
0.3598814229249012,6.10014718915059e-9
0.3606719367588933,7.442652612837419e-9
0.3622529644268775,5.374851776880191e-9
0.3638339920948617,1.590635535766363e-8
0.36778656126482223,4.910203329371292e-9
0.36936758893280636,1.280353352362931e-8
0.3701581027667985,7.1782890535064155e-9
0.3709486166007906,1.3275064785339548e-8
0.37332015810276686,6.677399032075322e-9
0.3749011857707511,1.012128378793568e-8
0.3764822134387352,4.735792551827738e-9
0.3772727272727273,1.6196608466418196e-8
0.3788537549407115,6.324804710092731e-9
0.3796442687747036,1.8052797165878923e-8
0.3804347826086957,1.2127453930353598e-8
0.3812252964426878,1.838221772648439e-8
0.38280632411067195,9.246312906117008e-9
0.38280632411067195,9.246312906117008e-2
